ID,AreaType,RegionName,NVotes,Leave,Postals,Residents,Households,MeanAge,AdultMeanAge,Age_0to4,Age_5to7,Age_8to9,Age_10to14,Age_15,Age_16to17,Age_18to19,Age_20to24,Age_25to29,Age_30to44,Age_45to59,Age_60to64,Age_65to74,Age_75to84,Age_85to89,Age_90plus,White,Black,Asian,Indian,Pakistani,Owned,OwnedOutright,SocialRent,PrivateRent,NoQuals,L1Quals,L4Quals_plus,Students,Unemp,UnempRate_EA,HigherOccup,RoutineOccupOrLTU,Density,Deprived,MultiDepriv,C1C2DE,C2DE,DE
11,E07,East of England,5279,2587,P,9547,3779,36.5,45.6,7.4,3.8,2.4,6.5,1.4,2.8,2.4,6.2,6.7,23.8,19.8,5,6.9,3.5,0.9,0.3,79.7,4.3,13.2,2.5,0.6,67.7,20,16.8,13.7,16.7,14.6,32,4.8,3.3,4.4,41.8,33.6,19.1,50.8,18.6,74.7,41.1,20.6
12,E06,North West,3150,1499,P,6780,2442,34,45,9,5.2,3.6,7.7,1.5,2.8,2.7,6.7,7.6,21.1,15.4,4.4,6.5,3.9,1.1,0.6,43.5,0.7,55.1,33.7,16.7,68.9,38.3,15.5,13.8,34.2,14.3,15.2,5.7,5.5,9.4,17.8,59.7,21.9,71.4,37.2,89.2,64.4,41.1
13,E09,London,3961,1648,P,11184,3487,36.9,44.4,5.5,3.5,2.1,6.5,1.2,2.5,2.7,8.7,9.5,21.7,19.3,4.6,6.7,4.5,0.8,0.4,26.6,8,61.4,46.5,2.4,60.9,25.9,12.1,24.8,23.4,11.9,27.6,8.4,4.9,7,26.4,42.1,89.5,69.6,32.4,83,56.3,29.5
14,E06,North West,5101,3115,P,6676,2837,45,52.9,3.7,2.6,1.5,6.1,1.7,2.7,2.2,4.4,3.6,17.2,22.8,7.9,12.8,8.2,1.7,0.7,98.2,0.5,1,0.5,0,90.2,39.5,2.5,6.5,20.4,11,28.7,3.1,2.1,3,38.9,33.8,6.1,50.6,17.9,75.6,42.1,16.3
15,E08,West Midlands,8022,6067,P,13046,5733,43.5,51.3,5.2,2.9,1.8,5,1.1,2.1,2.3,5.6,5.7,18.3,19.2,6.9,13.3,8.6,1.4,0.5,97.5,1.5,0.9,0.3,0.2,72.6,34.4,20.1,5.7,33.9,14.2,15.9,2.6,4.7,7,25.4,49.7,32.6,64.3,30.9,85.2,57.5,27.4
16,E09,London,6471,1288,P,16854,7158,32,39.6,7.1,4.1,2.5,6.4,1.4,2.6,2.4,8.8,13.4,26,16.8,2.3,3.6,2,0.4,0.2,37.9,50.5,5.7,0.6,0.7,15.7,4.3,58.9,22.9,17.6,11.4,36.8,9.6,8.7,11.9,36.1,45.2,143,70.9,34.2,77.4,46.5,31.6
17,E06,North West,2720,1408,P,4363,1830,42.9,51,4.4,2.7,2.5,6.1,1.1,2.8,1.8,4,3.4,18.2,27.5,8.7,11,4.5,0.7,0.6,98.5,0.2,0.9,0.3,0.1,90,37.1,1.2,8.4,12.4,9.6,45.1,2.5,2.1,2.9,52.9,18.1,0.7,37,10.6,57.8,24.8,8.2
18,E09,London,7401,3375,P,16638,7870,36,43,8.5,3.3,1.7,3.4,0.7,1.7,1.5,6.4,12.8,29.8,14.7,3.9,5.5,4.1,1.2,0.8,51.3,16.1,28.4,15.9,2.2,38.9,15.4,14.7,43.1,12.3,10.3,45.9,5.3,5.5,7.3,48.7,28.5,45.3,59,22.8,62.6,29.6,16.2
19,E08,North West,7066,3578,P,14986,6332,36.3,45.8,8.3,4.4,2.4,6.2,1.3,2.6,2.6,5.8,7,24,18.1,4.8,6.2,4.1,1.2,0.9,91.2,2.4,5.6,0.6,2,58.2,16.6,25.2,14.9,26,15.1,23.7,3.5,5.4,7.5,31.2,45.5,51.7,59,28.5,81.8,51.5,29.6
20,E08,Yorkshire and The Humber,6198,4476,P,12654,5359,39.5,48.6,6.9,3.5,2.2,6.2,1.1,2.6,2.6,6.8,6.8,17.9,20.1,6.3,9.1,5.5,1.6,0.8,98.3,0.6,0.9,0.1,0.2,61.5,24.7,20,16.9,34.5,16.4,12.1,2.5,7.8,11.9,18.9,61,6.3,69,36.5,90.3,68.3,37.7
21,E06,South East,3344,2133,P,7635,3204,38.7,47.7,6.8,3.7,2.4,6.1,1.3,2.5,2.1,5.8,6.7,22.6,19.9,4.3,6.9,6.1,1.8,0.9,91.8,3,4.7,1.6,0.6,55.5,16.2,31.9,9.8,24.5,17.5,20.8,2.4,4.7,6.1,32.9,41.6,34.9,57.8,24.1,80.9,51.1,24.3
22,E07,South East,2238,1534,P,5920,2554,41.6,51,6.8,3.4,2.2,5.4,1.4,3,2.7,5.7,5.6,18,17.6,6.4,9.6,8.5,2.5,1.2,95.6,1.6,2.1,0.3,0.1,53.6,19.9,39,5.6,40.7,16.1,9.8,1.9,5.3,8.2,17.2,60.7,52.8,73.4,38.7,91,70.1,39.1
23,E09,London,5705,4309,P,12534,5016,39.8,48.5,6,3.5,2.1,5.9,1.4,3,2.6,7.1,5.5,18.7,21.1,5.5,9.5,6.4,1.1,0.5,84.3,9.3,5.4,3.1,0.4,77.4,30.7,8.9,12.8,29.8,18,14.9,3.4,4.8,6.8,24.5,43.2,8.3,64,27.3,85.1,52.2,24
24,E09,London,3916,1565,P,12321,4618,35.7,44.6,7.2,3.4,2.1,6.2,1.9,4.3,2.9,5.8,8,25.1,16.8,4.6,6,4,1.1,0.6,47.4,10.4,37.5,19.1,2.8,52.7,19.2,11.7,31.4,13.3,10.3,41.8,7.5,4.2,6,45.3,29.9,35.3,54.1,21.4,62.7,34,18.9
25,E08,West Midlands,7076,5317,P,12729,5195,39.8,48.7,6,3.5,2.4,6.3,1.3,2.6,2.5,5.6,5.7,20.9,19.5,6.3,10.2,5.3,1.2,0.6,95.8,1.7,2.2,1,0.3,68.2,24.9,20.6,9.3,36.1,15.1,14,2.6,5.8,8.6,22.3,55.6,18,66.5,33.2,87.8,63.5,31.8
26,E08,North West,3854,2506,P,12196,4809,33.7,44.4,9.9,5.1,3.1,7.2,1.3,2.6,3.1,7.7,8.4,19.8,16.2,3.9,5.4,4,1.3,0.8,64.8,4.9,29.2,1.1,21.6,44.8,16.5,37.4,16.1,40.5,14.7,11.1,5.3,8.6,14.8,14.2,68.8,38.2,77.9,44.9,92.8,73.8,52.2
27,E06,South East,6596,2830,P,16729,6397,32.2,35.9,4.4,2.5,1.1,3.3,0.6,1.7,10.1,26,8.7,17.4,12.2,3.2,4.3,3.2,0.9,0.5,83.8,4.2,10.2,2.3,0.5,43.3,16.2,4.3,51.2,11.6,8.2,26,36.9,3.3,5.3,40,36.7,166.6,49.5,19.5,83,26.2,15
28,E07,North West,2001,1354,NP,4745,2116,40.7,49.1,5.9,3.2,2,5.2,1.6,2.8,2.5,5.8,5.9,19.9,20.8,7,9.5,5.3,1.6,0.9,96.8,0.5,2.4,0.3,1,71.8,28.1,9.5,17.5,25.2,13.6,22.3,3.3,3.5,5.1,27.1,47.5,24.7,56.9,26.3,84.4,56.5,27.1
29,E08,North East,4172,2741,P,8034,3609,40.1,48.4,6,3.1,1.9,5.9,1.4,2.6,3,6.3,6.6,19.1,20.6,6.6,9.4,5.3,1.4,0.8,97.4,0.5,1.4,0.2,0.1,48.3,14.5,42.3,8.5,32.3,15.2,13.8,3.4,8.6,13.3,19.6,61.9,23.3,69.6,38.4,90.5,65.4,39.3
30,E06,East of England,5273,3388,P,10323,3979,39.7,50,6.5,3.6,2.5,7.5,1.6,3.4,2.8,4.9,4.8,18.2,19.9,6.4,9.3,5.9,1.8,0.8,92.6,2.7,3.9,1.5,0.3,67.9,26.6,19.1,12.1,26.1,17.2,20.3,2.9,4.8,7.2,32,39.3,37,60.4,25.3,78.2,46.1,23.8
31,E09,London,6212,1496,P,11601,5546,35.8,40.8,5,2.4,1.4,4.2,0.7,1.4,1.8,8.4,16.3,29.4,15.7,3.7,5.5,3.1,0.6,0.4,74.7,12,8.5,1.4,0.3,27.3,12.2,41.8,29.3,15.5,7.1,54.4,6.2,5.3,7,57,26.1,137,59,25.7,56.1,27.2,18.6
32,E07,North West,2170,1485,NP,5460,2152,36.5,46,7.6,3.8,2.8,6.8,1.3,2.9,2.4,6,5.9,24.3,19.4,5.2,6.5,3.5,0.8,0.8,96.5,0.1,3,0.3,1.7,76.2,22.7,7.4,15.4,21.9,13.9,22,3.2,3.4,4.6,30.8,44.5,6.7,52.6,21.9,83,54.5,24.9
33,E08,Yorkshire and The Humber,6555,4541,P,11853,5021,41.7,49.5,4.6,3,2,5.8,1.4,2.9,2.6,5.9,5.2,18.1,24.1,7.4,9.8,5.7,1.2,0.5,98.2,0.6,0.7,0.1,0.3,76.6,29.8,15.8,6.4,25.1,15.3,19,3.1,3.9,5.5,28.9,46.1,13.4,57.6,25.5,83.3,52.9,26.3
34,E08,West Midlands,8311,5031,P,13992,5734,44.1,52.2,4.5,2.8,1.8,5.9,1.1,2.8,2.4,4.9,4.3,17.6,21.3,6.5,13.4,8.2,1.8,0.8,87.9,2,9.3,6.1,0.9,91.7,39.2,1.2,6.5,20.3,13.7,28.6,3.1,2.8,4,41.8,29.5,24.6,50.2,16.8,67.9,33.4,12.5
35,E09,London,7456,4032,P,14567,5854,41.4,50.6,5.9,3.9,2.3,5.9,1.4,2.8,2,4.3,4.5,20.3,21.4,6.8,9.6,6.8,1.6,0.7,90.3,2.5,6.1,2.7,0.2,87.4,34.3,4.4,7.2,16.4,13.5,33.2,2.6,2.6,3.6,46.6,23.4,11.8,45.2,14.2,65.7,28.5,10.9
36,E08,North East,6477,3966,P,10575,4581,41.8,49.9,5.5,2.9,1.8,6,1.3,2.3,2.5,6.6,5.4,17.7,21.4,7.4,10,7.1,1.4,0.6,98,0.2,1.4,0.2,0.3,67.2,26.6,23.1,8.8,31.8,15.1,16.3,3.6,5.6,8.5,22.3,54.8,31.6,66.2,32.5,88.4,60.5,35.1
37,E08,West Midlands,6114,4404,P,12828,5480,36.6,46.5,7.8,4.1,2.7,7,1.5,3.1,2.9,7.6,6.7,19,17.9,5,8.3,5.3,1,0.3,90.9,6.7,2,0.6,0.4,51.6,17.8,38.4,8.8,37.2,18.7,9.5,3.5,8.8,13.3,16.8,62.7,46.1,73.5,39.2,93.2,69.3,41.9
38,E07,North West,2084,948,P,2230,1081,43.4,51,6,3,1.2,4.6,0.7,2.2,1.6,5.3,7,18.1,24.2,5.8,8.9,6.7,2.8,1.9,96.8,0.7,2.2,0.9,0,63.7,29.8,15.5,19.4,18.7,10.1,36.2,2.5,2.5,3.4,40.2,41.4,27.3,53.1,22.7,73.1,47.9,25.4
39,E08,North West,6139,3337,P,9735,4085,43,51.1,4.4,3.2,2.4,5.8,1.3,2.2,1.9,4.4,3.9,18.9,24.6,8.6,11.1,5.1,1.2,0.9,97.3,0.9,1.5,0.3,0.5,84.1,36.3,5.9,8.9,16.3,11,37.5,2.8,2.7,3.8,46.1,26.4,2.4,46.1,16.2,65.1,33.2,13.9
40,E08,North West,6172,2888,P,11264,5304,40.8,48.1,6,2.8,1.7,4.6,0.9,2.2,2.1,6.4,7.6,21.6,20.9,6,8.1,5.9,2,1.1,87.3,2.1,6.9,1.5,1.4,61.3,22,18.7,18.3,24.8,11.5,30.7,4,4.3,6.1,36.9,39.7,43.4,58.8,29.4,74.5,42.2,23.8
41,E09,London,6177,3041,P,13561,5567,37.2,46.6,7.6,4,2.7,6.3,1.3,2.7,2.4,5.7,6.7,23.3,18,5.1,7.6,4.6,1.5,0.6,76,12.9,7.8,1.6,0.7,49.3,18.2,37,12.5,25.5,13.1,29.6,5.2,5.8,8.6,33.5,41.1,42.3,63.3,30.4,76.8,47.3,26.9
42,E09,London,6106,2766,P,18024,6928,31.6,42.3,9.9,5.5,3.2,7.8,1.6,3.1,2.7,7.4,8.6,22.9,15.8,3.1,4.8,2.8,0.6,0.2,39.4,37.8,14.2,2.8,0.7,30.6,8.6,41.1,24.2,30.5,14.7,19.5,8.6,8.8,14.4,19.8,59.7,59.1,79.8,44.2,90.1,64,45.5
43,E09,London,6029,3894,P,15509,6721,38.1,48.2,8.2,4.2,2.5,6,1.3,2.8,2.2,5.5,5.9,21.2,18.6,5.7,8.7,5.5,1.2,0.6,85.4,9.4,3.9,1,0.1,59.9,21.5,26.7,11.3,27.9,17.3,19.6,3.2,5.4,7.9,29.4,43.5,11.9,63.4,28.3,83.6,50,25.4
44,E06,Yorkshire and The Humber,6084,4029,P,10044,4442,46.9,54.8,3.8,2.9,2,5.3,1.1,2.1,2,3.9,3.4,15.7,21.1,9.5,14.2,9.3,2.6,1,98.7,0.2,0.7,0.1,0,87.3,39.5,4.1,7.9,25.5,13.2,22.4,2.2,2.1,3.1,32.6,42.5,21.6,53.2,19.6,79.3,48,22.9
45,E07,East of England,4344,905,P,8665,3745,38.5,44.4,5.1,2.9,1.6,3.9,0.9,1.9,2.1,9.1,11.7,23.8,18,5.4,6.6,4.5,1.5,0.9,88.1,2.1,8,1.7,0.2,58.1,27.5,9.7,30.6,8.1,5.1,63.2,11.9,3.2,4.3,61.1,21.2,58.3,46.7,14.9,48.4,19.5,10.6
46,E08,West Midlands,5868,4166,P,12264,4841,39,48,6.6,3.4,2.3,6.3,1.3,3,2.5,6.8,6.7,19.7,18.5,6,9.2,5.7,1.2,0.6,73.2,8.5,16.7,13.7,0.5,63.1,27.8,25.5,9.9,37.4,16,12.4,3.4,8.2,12.5,18.4,63.6,47.5,71.5,39,90.9,70,39.1
47,E09,London,7374,3848,P,13268,5471,39.7,48.3,6,3.1,2.2,6.4,1.2,2.7,2.4,6.4,6.1,19.2,21.5,6.7,8.6,5.1,1.4,0.8,75.4,11.7,10.9,4.2,1.6,74.6,26.3,11.1,13,17.2,15.4,29.3,4.2,4,5.5,38.7,30.4,15.7,52.8,18.6,74.7,38.9,16.4
48,E07,North West,2954,1698,NP,6233,2756,41.9,50.4,4.8,3,2.3,6.4,1.3,2.8,2.2,5.2,4.9,18.9,22.1,6.8,11.6,5.5,1.3,0.9,98.9,0.2,0.6,0,0,82.8,32.5,6.8,9.3,24.6,12.5,19.9,2,3.7,5.3,27.5,50.9,10.8,56.6,26.1,84.1,56.3,24.8
49,E06,South West,7030,4980,P,13997,5908,39.3,48.9,6.6,3.9,2.6,6.2,1.4,2.9,2.8,5.9,6.4,18.4,19,6.1,9.2,5.9,1.7,0.9,98,1,0.8,0.2,0.1,50.4,18.7,38.8,9,35.1,16.6,10.5,3.1,5.7,9.1,16.3,63.2,28.6,71.9,38.3,92.7,71.6,40.3
50,E07,West Midlands,3559,2414,P,6484,2637,38.4,47,6.1,3.8,2.6,5.7,1.3,2.8,2.4,5.6,6.7,22.7,20.7,5.7,8.2,3.9,1,0.7,98.1,0.5,1.2,0.4,0.1,76.9,20.6,10.5,11.5,26.2,15.5,18.2,2.3,3.7,5,28.4,46.3,30.7,54.5,25.3,83.7,55,23.3
51,E06,South East,7914,5503,P,14068,5609,36.2,46.2,7.9,4.1,2.6,7.5,1.5,2.8,3.1,6.1,6.9,20,19.2,5.8,7.1,3.8,1.1,0.5,94.5,1.7,3.3,0.9,0,50.7,16,34.9,12.7,32.3,16.5,14.7,3.5,5.9,8.4,23,54.4,29,66.3,33.1,88.7,63.4,35.4
52,E06,East of England,2611,1316,P,4180,1705,41.5,51.5,5.4,3.4,2.5,7.7,2,2.7,1.8,4.3,3.3,19,22.2,6.5,10.2,6.5,1.7,0.7,96.2,1,2,0.6,0.2,77.2,30.9,7.6,11.9,16.1,11.7,36.5,3.3,2.3,3.3,47.7,25.3,0.8,45,15,62.9,31.4,10.5
53,E08,West Midlands,6221,4381,P,11986,5109,41.4,49.7,5.4,3.1,1.8,5.8,1.3,2.8,3,6.3,5.7,18.3,21,5.7,10,6.6,2.1,1,87.2,7.9,4.4,3,0.2,67.9,27.8,23.4,7.2,33.3,15,15.1,3.7,6.1,8.9,23.2,55,25.4,64.5,31.8,88.4,61.4,31.7
54,E08,North West,3962,1900,P,14012,4376,30.2,41.8,10.7,5.7,3.7,9.1,1.8,3.6,3.2,8.1,8.9,20.4,13.3,2.8,4.2,3,0.9,0.5,34,3.6,61.6,0.6,48.9,56.2,27.6,26.3,14.3,41.2,16,11.1,7,7.8,14.1,12,68.6,52.7,79,44.7,93.4,75.9,58.6
55,E08,North East,5489,3258,P,10649,4952,42.7,49,4.4,2.5,1.5,4.2,1,2,2.3,8.6,6.6,19,21.3,6.6,10,7.6,1.7,0.8,93.4,1.3,4.5,0.7,0.1,69.4,29.8,10.8,18.1,23.8,11.9,25.9,7.6,4.7,7.2,30.3,45.5,50,59.4,27.1,81.7,47.4,25.1
56,E08,North East,5485,3262,P,10817,4381,40.1,48.5,5.9,3.3,2,6,1.3,2.9,2.6,5.9,5.3,18.3,23.9,8.2,9.2,4.2,0.8,0.3,96.6,0.6,2.5,1,0.2,67.8,22.2,23.7,7.8,23.5,16.1,22.8,3.5,4.6,6.7,31.3,44.7,15.3,56.4,25.5,79.6,49.6,28
57,E06,South East,3968,2054,P,7995,3434,36.3,44.9,8.7,3.6,2.3,5.5,1,1.9,1.9,6.2,8.2,24.7,20.1,4.8,6.1,3.8,0.8,0.4,88.6,3.5,6.7,2.1,0.5,61.5,17.8,23.6,12.9,16.5,16.9,28.5,2.8,4.2,5.4,39.2,34.9,40.9,50.7,19.7,75.4,40.9,18.9
58,E06,East of England,3180,1747,P,4379,1726,37.6,47.4,7.2,4.3,2.3,7.1,1.5,2.6,2.6,5.7,6.4,20.5,19.4,5.8,7.4,5.3,1.1,0.6,80.2,7,11.4,5.3,0.9,59.7,20.2,29.5,9.2,25.5,17.4,18.5,4.1,5.5,7.7,24.9,51.2,7.9,62.1,29.2,85.8,60.2,32.1
59,E07,South East,1516,799,NP,3075,1178,41.3,50.1,5.1,3.4,2.4,6.2,1.4,3,2.2,4.5,4.2,19.5,25,6.4,9.1,5.2,1.3,1.1,95.5,1.2,3.1,0.6,0.3,86.8,30.1,2.6,9.1,15.3,13.3,33.4,2.5,2.9,3.7,49.8,22,1.6,41.3,12.4,63,25.7,10.2
60,E09,London,7411,1653,P,14418,6277,33.5,40.1,6.9,3.2,2,5.3,1.1,1.8,2,10,14.9,27,13.9,3.5,4.6,2.6,0.7,0.5,57.1,23.5,12,1.7,0.3,20.8,7.4,44.9,32.3,20.6,9,41.8,10,6.6,9.4,41.6,40.1,161.4,71,36.7,73.2,40.8,27.9
61,E07,South East,1765,1296,P,4396,1793,38.4,48,6.8,4,2.2,7.1,1.5,2.7,2.8,5.6,6.1,20.7,18.8,5.9,7.9,6,1.4,0.5,90.4,5.3,3.7,1.2,0.1,53.6,17.8,37.7,5.2,32.5,19.4,14.4,2.7,5.1,7.5,22.7,51.9,40.7,68.3,31.7,88.8,61.3,34.2
62,E09,London,6578,1083,P,11680,5277,37.5,43.4,6,2.6,1.8,4.4,0.6,1.3,1.4,5.4,11.5,32.6,16.5,4.1,6.1,3.7,1,0.8,81.1,6.6,7.9,2,0.4,51.9,23.8,10,36.2,6.4,4.3,65.7,6,3.1,3.9,65.6,15.8,47.9,46.9,13.9,46.3,14.8,8.3
63,E08,Yorkshire and The Humber,9819,6050,P,15095,6700,42,50.1,5.4,3.2,2,5.8,1.1,2.3,2.1,4.9,5.6,20.2,21.3,7.6,10.2,6.1,1.5,0.9,97.6,0.8,1,0.3,0.1,73.1,27.2,15.6,10.1,25.1,13.6,23.7,2.3,3.8,5.3,33,41.1,23.6,56.2,24.1,78.8,47.4,21.4
64,E09,London,5281,3422,P,10846,4026,35.3,46.2,8.3,4.9,3,7.9,1.7,2.9,3.6,6.7,5.8,19.1,18.8,4.5,6.3,4.6,1.2,0.6,76.3,17.1,4.3,1,0.7,47.1,14.4,42.4,8.9,34.8,18,12.8,4.6,7,10.3,18.9,54.9,45.8,72.3,37.5,90.3,64.9,35
65,E06,South East,7310,4580,P,13608,5643,38.4,46.9,6.8,3.5,2,6,1.4,2.5,2.4,6.4,8.1,20.9,19.8,5.3,7.6,5,1.5,0.8,90.7,2.6,5.8,0.9,0.1,65.6,22.6,13.8,19.4,23.1,15.3,20.8,4,3.9,5.2,31.6,42.2,48.2,56.7,23.5,82,48.8,23.2
66,E08,North West,8159,3727,P,14291,6619,42.2,49.7,5,3,2,5,1,2.2,1.8,5.5,6.5,20.7,20.6,7.7,10.6,6.2,1.4,0.7,96.6,0.7,2.4,0.7,0.1,76.4,30.9,4.4,18,19.4,12,30.3,3.2,4,5.8,38.1,38.2,45.7,53.5,22.3,74.7,42.4,22.4
67,E08,Yorkshire and The Humber,6283,3352,P,11313,4846,39.8,48.7,5.8,3.8,2.1,6.4,1.4,2.5,2.3,4.7,4.5,21.6,23.1,6.9,8.9,4.4,1.1,0.3,97.8,0.6,1.3,0,0.4,75.1,26.7,12.8,10.7,19.2,12.1,32.6,2.8,3.7,5,41.9,33.3,2,49.1,21.1,69.2,39.5,17.7
68,E09,London,5182,1254,P,9314,4034,35.7,42,8,3.2,1.5,3.4,0.5,1.2,0.8,5.1,13.9,34.4,14.6,3.6,5.2,3.2,1,0.4,81.9,2.8,12.5,3.6,1.2,60.9,22.6,3.8,34.2,7.8,4.9,60.7,3.9,2.5,3,64.7,15.3,83,36.9,11.4,47.3,17.1,7.2
69,E09,London,4716,1398,P,13428,5224,34.4,41.8,6.4,3.5,2.5,6,1.3,2.3,2.3,8.5,11.7,26.3,15.9,3.7,5.3,3.4,0.5,0.2,52.2,27,13.2,2.5,1.2,32,13.8,35,30.2,23.9,9.9,30.6,9.7,7,10.3,28.2,50,98.5,73.5,38.6,83,56.7,38
70,E08,West Midlands,7866,4417,P,12523,5317,45.1,53.3,4.9,3,2,5.1,1.1,2.3,1.9,4.4,4.5,17.4,20.3,7.5,13.1,9.3,2,1.1,94,0.8,4.9,1.4,2.1,78.6,37.9,13,7.4,23.7,11.9,30,2.7,3.9,5.8,40.8,32.7,27.7,53.6,21.5,68.5,38,17.2
71,E08,West Midlands,6027,4153,P,12462,4904,37.6,47.3,7.1,4,2.6,6.7,1.4,3.1,3,7,6.1,19.6,18.9,5,7.6,5.6,1.5,0.7,82.6,9.3,6.8,5.1,0.2,60.8,22.1,29.5,8.1,34.2,15.6,14.5,3.8,7.4,10.8,19.7,60.2,46.2,67.6,34.6,90,66.6,34.7
72,E06,South West,6948,4531,P,11817,5017,43.2,50.4,4.6,2.9,1.7,4.7,1.1,2.3,3.8,6.3,5.1,16.1,21.7,9.6,12.2,5.7,1.5,0.8,97.2,0.5,2,0.6,0,69.8,29,20.5,8.5,27.8,14.4,15.8,6.7,2.9,4.5,23.8,52.6,14.5,65.4,29.9,86.8,59.9,29.7
73,E07,West Midlands,3375,1932,P,5553,2350,42.4,50.3,4.9,3.1,1.9,5.3,1.4,2.7,2,5,4.8,19.1,24.8,7.3,9.7,5.6,1.5,0.8,96.3,1.1,2.1,0.8,0.3,83.3,30.8,7,8.9,19.8,12.7,29.3,2.9,2.3,3,40.7,31.3,16.6,47.8,17,70.7,38.1,14.2
74,E08,Yorkshire and The Humber,8280,3370,P,15547,6995,40,47.8,6.2,3.2,2,4.9,1.1,2.4,1.8,5.5,8.2,23.4,19.4,5.8,7.5,5.9,1.8,1,84,2,12.8,1.8,7.4,69,26.7,8.6,20.6,19,11.3,36.9,3.4,4.1,5.6,42.1,34.2,25.6,54.7,22.6,70.2,37.5,19.2
75,E09,London,5693,1378,P,12665,5930,36.9,42.7,5,3,1.8,4.7,0.9,1.7,1.9,8.5,11.8,27.7,17.1,4.6,7.1,3.1,0.7,0.4,73.6,8.7,13.3,2,0.3,34.5,18.6,32.5,31.1,11.7,6.7,53.9,9.4,4.4,6.2,56.3,24.6,111.4,61.8,25.4,59.3,24.8,17.1
